author,changes,common_name,familyetc,species,species_number,subspecies
(MENETRIES 1832),,"E: Twin-striped Skink, Two-Streaked Snake-Eyed Skink
G: Gestreiftes Natternauge","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus bivittatus,10001,
"GÖCMEN, KUMLUTAS & TOSUNOGLU 1996",,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus budaki,10002,"Ablepharus budaki budaki GÖCMEN, KUMLUTAS & TOSUNOGLU 1996
Ablepharus budaki anatolicus SCHMIDTLER 1997"
DAREVSKY 1953,,E: Chernov’s Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus chernovi,10003,"Ablepharus chernovi chernovi DAREVSKY 1953
Ablepharus chernovi eiselti SCHMIDTLER 1997
Ablepharus chernovi isauriensis SCHMIDTLER 1997
Ablepharus chernovi ressli SCHMIDTLER 1997"
EREMCHENKO & PANFILOV 1990,,,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus darvazi,10004,
STRAUCH 1868,,E: Desert Lidless Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus deserti,10005,
(STOLICZKA 1872),,E: Minor Snake-eyed Skink,"Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus grayanus,10006,
BIBRON & BORY ST-VINCENT 1833,,"E: Juniper Skink, Snake-eyed skink
G: Johanniseidechse
Croatian: ivanjski rovaš","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus kitaibelii,10007,"Ablepharus kitaibelii kitaibelii (BIBRON & BORY 1833)
Ablepharus kitaibelii fabichi STEPANEK 1937
Ablepharus kitaibelii fitzingeri MERTENS 1952
Ablepharus kitaibelii stepaneki FUHN 1970"
WETTSTEIN 1960,,"E: Lindberg’s Twin-striped Skink, Lindberg’s Snake-Eyed Skink
G: Lindbergs Natternauge","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus lindbergi,10008,
(LICHTENSTEIN 1823),,"E: Asian Snake-eyed Skink
G: Asiatisches Natterauge","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus pannonicus,10009,
(GRAY 1839),,"E: Rueppel’s Snake-eyed skink
G: Rueppels Johanniseidechse","Scincidae, Eugongylinae, Scincoidea, Sauria, Squamata (lizards)",Ablepharus rueppellii,10010,"Ablepharus rueppellii rueppellii (GRAY 1839)
Ablepharus rueppellii festae PERACCA 1894"
(COPE 1866),new genus (was: Mesaspis),"E: Mount Orizaba Alligator Lizard
S: Escorpión del Pico de Orizaba","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia antauges,16319,
CAMPBELL & FROST 1993,,E: Anzuetoi Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia anzuetoi,10011,
(COPE 1869),,E: Cope's Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia aurita,10012,
TIHEN 1954,,"E: Bogert's Arboreal Alligator Lizard
S: Escorpión Arborícola de Bogert","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia bogerti,10013,
BRODIE & SAVAGE 1993,,E: Campbell's Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia campbelli,10014,
SMITH & SMITH 1981,,"E: Chiszar's Arboreal Alligator Lizard
S: Escorpión Arborícola de Chiszar","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia chiszari,10015,
"(SOLANO-ZAVALETA, NIETO-MONTES DE OCA & CAMPBELL 2016)",new genus (was: Mesaspis),"English: Cuchumatanes Alligator Lizard
Spanish: Escorpioncillo de los Cuchumatanes","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia cuchumatanus,20545,
"CAMPBELL, SOLANO-ZAVALETA, FLORES-VILLELA, CAVIEDES-SOLIS & FROST 2016",,,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia cuetzpali,20344,
(WIEGMANN 1828),,"S: Escorpión Arboricola de Deppe
E: Deppe’s Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia deppii,10016,
(COPE 1885),,,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia fimbriata,10017,
"CAMPBELL, SASA, ACEVEDO & MENDELSON 1998",,E: Frost’s Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia frosti,10018,
(TIHEN 1944),,"S: Escorpión Arboricola del Zempoaltepec
E: Mount Zempoaltepec Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia fuscolabialis,10019,
(BOULENGER 1913),new genus (was: Mesaspis),"E: Gadow's Alligator Lizard
S: Escorpión de Gadow","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia gadovii,16320,"Abronia gadovii gadovii (BOULENGER 1913)
Abronia gadovii levigata TIHEN 1949"
CAMPBELL & FROST 1993,,E: Brilliant Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia gaiophantasma,10020,
(COPE 1864),,"E: Sierra de Tehuacan Arboreal Alligator Lizard, Terrestrial Arboreal Alligator Lizard
G: Grüne Baumschleiche
S: Escorpión Arboricola de Tehuacá","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia graminea,10021,
(KARGES & WRIGHT 1987),new genus (was: Mesaspis),"E: Sierra Juarez Alligator Lizard
S: Escorpión de Sierra de Juarez","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia juarezi,16321,
CAMPBELL & FROST 1993,,"S: Escorpión Arboricola de Escamas Planas
E: Flat-scaled Arboreal Alligator Lizard, Smoothback arboreal alligator lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia leurolepis,10022,
SMITH & ALVAREZ DEL TORO 1963,,"E: Red-lipped Arboreal Alligator Lizard
S: Escorpión Arboricola de Labios Rojos","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia lythrochila,10023,
FLORES-VILLELA & SÁNCHEZ-H. 2003,,"S: Escorpión Arboricola de Martin del Campo
E: Martín del Campo’s Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia martindelcampoi,10024,
(HARTWEG & TIHEN 1946),,"S: Escorpión Arboricola de Matuda
E: Matuda's Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia matudai,10025,
CAMPBELL & BRODIE 1999,,,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia meledona,10026,
CAMPBELL 1982,,"E: Mitchell's Arboreal Alligator Lizard
S: Escorpión Arboricola de Mitchell","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia mitchelli,10027,
BOGERT & PORTER 1967,,"S: Escorpión Arboricola Mixteco
E: Mixtecan Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia mixteca,10028,
HIDALGO 1983,,E: MonteCristo Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia montecristoi,10029,
(COPE 1878),new genus (was: Mesaspis),,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia monticola,16322,
(BOCOURT 1872),new genus (was: Mesaspis),"E: Morelet's Alligator Lizard
S: Escorpión de Morelet","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia moreletii,16323,"Abronia moreletii moreletii (BOCOURT 1872)
Abronia moreletii rafaeli (HARTWEG & TIHEN 1946)
Abronia moreletii salvadorensis (SCHMIDT 1928)
Abronia moreletii temporalis (HARTWEG & TIHEN 1946)"
"CLAUSE, LUNA-REYES & NIETO-MONTES DE OCA 2020",new species,"E: Sierra Morena Arboreal Alligator Lizards
S: Dragoncitos de Sierra Morena","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia morenica,23270,
(GÜNTHER 1885),,"E: Oaxacan Arboreal Alligator Lizard
S: Escorpión Arboricola de Oaxaca","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia oaxacae,10030,
(MARTIN DEL CAMPO 1939),,"S: Escorpión Arboricola de Ochoterena
E: Ochoterena’s Arboreal Alligator Lizard, Northern Chiapas Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia ochoterenai,10031,
CAMPBELL 1984,,"S: Escorpión Arboricola de Ornelas
E: Ornelas’s Arboreal Alligator Lizard, Cerro Baul Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia ornelasi,10032,
CAMPBELL 1994,,"E: Ramirez's Alligator Lizard
S:  Escorpión Arboricola de Ramirez","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia ramirezi,10033,
WERLER & SHANNON 1961,,"S: Escorpión Arboricola de Reid
E: Reid's Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia reidi,10034,
HIDALGO 1983,,E: Salvador Arboreal Alligator Lizard,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia salvadorensis,10035,
CAMPBELL & FROST 1993,,"E: Smith's Arboreal Alligator Lizard
S: Escorpión Arborícola de Smith","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia smithi,10036,
(WIEGMANN 1828),,"S: Escorpión Arborícola de Bandas
E: Banded Arboreal Alligator Lizard, Bromeliad Arboreal Alligator Lizard","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia taeniata,10037,
(BOCOURT 1872),,G: Guatemala-Baumschleiche,"Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia vasconcelosii,10038,
(BOCOURT 1873),new genus (was: Mesaspis),"E: Dwarf Alligator Lizard
S: Escorpión de Enano","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha, Sauria, Squamata (lizards)",Abronia viridiflava,16324,
(ANDERSON 1896),,"E: Anderson's Rock Agama, Hadramaut Agama
G: Hadramautagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus adramitanus,10039,
(BLANFORD 1870),,"E: Eritrean Rock Agama, Eritrean Ridgeback Agama","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus annectans,10040,
(SMITH 1849),,"E: Blue-headed tree agama, Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama
G: Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus atricollis,10041,
"WAGNER, GREENBAUM & BAUER 2012",,,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus branchi,10042,
(FALK 1925),,"E: Falk’s Blue-headed tree agama
G: Falks Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus cyanocephalus,21725,
(RÜPPELL 1835),,"E: Blue-bellied Ridgeback agama, Black-necked tree agama","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus cyanogaster,10043,
(GÜNTHER 1894),,"E: Blue-headed tree agama, Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama
G: Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus gregorii,21726,
LARGEN & SPAWLS 2006,,E: Peter’s Ridgeback Agama,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus guentherpetersi,10044,
(KLAUSEWITZ 1957),,"E: Kivu Blue-headed tree agama
G: Kivu-Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus kiwuensis,21727,
(KLAUSEWITZ 1957),,"E: Blue-headed tree agama, Black-necked (Ridgeback) agama, Southern Tree Agama, Blue-throated Agama
G: Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus minutus,21729,
(BOULENGER 1895),,E: Philipps’ Ridgeback Agama,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus phillipsii,10045,
(KLAUSEWITZ 1957),,"E: Uganda Blue-headed tree agama
G: Uganda-Blaukehlagame","Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus ugandaensis,21728,
(KLAUSEWITZ 1954),,,"Agamidae (Agaminae), Sauria, Iguania, Squamata (lizards)",Acanthocercus yemensis,10046,
"(RHODIN, MITTERMEIER & MCMORRIS 1984)",,"E: Big-headed Pantanal Swamp Turtle
G: Pantanal-Plattschildkröte","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",Acanthochelys macrocephala,10047,
(FREIBERG 1945),,"E: Chaco Side-necked Turtle
G: Sporn-Plattschildkröte","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",Acanthochelys pallidipectoris,10048,
(MIKAN 1820),,"E: Brazilian Radiolated Swamp Turtle
G: STrahlen-Plattschildkröte","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",Acanthochelys radiolata,10049,
(DUMÉRIL & BIBRON 1835),,"E: Black Spine-necked Swamp Turtle
G: Stachelhals-Plattschildkröte","Chelidae, Chelinae,  Pleurodira, Testudines (turtles)",Acanthochelys spixii,10050,
BAHA EL DIN 2007,,G: Ägyptischer Fransenfinger,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus aegyptius,10051,
WERNER 2004,,G: Jordanischer Pantherfransenfinger,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus ahmaddisii,10052,
BOULENGER 1918,,E: Arabian Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus arabicus,10053,
GÜNTHER 1903,,"E: Golden Fringe-fingered Lizard
G: Gold-Fransenfinger","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus aureus,10054,
LATASTE 1881,,E: Bedriaga's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus bedriagai,10055,
"MORAVEC, EL DIN, SELIGMANN, SIVAN & WERNER 1999",,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus beershebensis,10056,
DOUMERGUE 1901,,E: White Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus blanci,10057,
BOULENGER 1918,,E: Blanford's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus blanfordii,10058,
(DAUDIN 1802),,"E: Bosk's Fringe-fingered Lizard, Bosc’s Fringe-toed lizard
G: Boscs Fransenfinger
F: Acanthodactyle de Bosc","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",Acanthodactylus boskianus,10059,"Acanthodactylus boskianus asper (AUDOUIN 1829)
Acanthodactylus boskianus boskianus (DAUDIN 1802)
Acanthodactylus boskianus euphraticus BOULENGER 1919"
